,Social?,Source,Filename,Quality,Start,End,# of People,Face visible?,Gender(s),Notes,Video Editing Notes,Sam's notes,Final (top five),
Arts Crafts,No,https://www.youtube.com/watch?v=h0jFOuE02W8,January Arts & Crafts Ideas for Elementary School Teachers,720p (HD),1:02,1:06,1,y,F,,n,,X,
Arts Crafts,No,https://www.youtube.com/watch?v=pqJ-pzRpWXs,DIY Crayon Art,720p (HD),1:46,1:50,1,y,M,Logo in bottom right corner,"Logo is pretty big, so cropping out the logo crops out the person's hands too. ",,,
Arts Crafts,No,https://www.youtube.com/watch?v=9hKxCu9pOPs,Fun Crafts for decorating the house,720p (HD),1:10,1:14,1,y,F,,n,,X,
Arts Crafts,No,https://www.youtube.com/watch?v=CrmSzMHXOmk,How to make a notice board Arts and crafts tutorial,720p (HD),3:01,3:05,1,y,F,,n,,X,
Arts Crafts,No,https://www.youtube.com/watch?v=GhV-RG2LiDU,Easy Arts & Crafts Ideas for Children #3,720p (HD),1:07,1:11,1,y,F,,cut out first few seconds because her forehead is cut out of the shot,,,
Arts Crafts,No,https://www.youtube.com/watch?v=GhV-RG2LiDU,Easy Arts & Crafts Ideas for Children #3,720p (HD),1:32,1:36,1,y,F,Same girl as in previous clip - choose one,n,,X,
Arts Crafts,No,https://www.youtube.com/watch?v=FbAKgOzJTRo,Grandma Knitting,720p (HD),0:16,0:20,1,y,F,,n,Camera is shaky; stabilized this one in iMovie,X,
Arts Crafts,No,https://www.youtube.com/watch?v=FbAKgOzJTRo,Grandma Knitting,720p (HD),0:03,0:07,1,y,F,Same person as in previous clip - choose one,n,Camera is shaky,,
Assembly line,Yes,https://www.youtube.com/watch?v=uewVCho0ZlI,Porsche 918 Spyder Production,720p (HD),5:58,6:02,2,y,,Assembling a car,n,,X,
Assembly line,Yes,https://www.youtube.com/watch?v=79TwUea8E4I,Porsche 911 Engine Production,720p (HD),1:30,1:34,~5,y,,Assembling a car,cut a few seconds in beginning,,,
Assembly line,Yes,https://www.youtube.com/watch?v=Mot4USqFTOo,The American Factory Worker,720p (HD),2:18,2:22,~10,y,,,cropped so faces are more visible,,X,
Assembly line,Yes,https://www.youtube.com/watch?v=Zt1Ra-upavk,2016 Nissan Maxima Assembly line,720p (HD),1:20,1:24,~3,y,,Logo in bottom right corner,cropped so faces are more visible,,X,
Assembly line,Yes,https://www.youtube.com/watch?v=Zt1Ra-upavk,2016 Nissan Maxima Assembly line,720p (HD),3:30,3:34,~3,y,,"Woman's face is obscured by body of car for some time, logo in bottom right corner",n,,,
Assembly line,Yes,https://www.youtube.com/watch?v=Zt1Ra-upavk,2016 Nissan Maxima Assembly line,720p (HD),4:30,4:34,"3 in focus, others in background",y,,Logo in bottom right corner,cropped so faces are more visible,,,
Assembly line,Yes,https://www.youtube.com/watch?v=5yInIqfyctM,MAN Trucks Assembly Line,720p (HD),2:21,2:25,3,y,,Logo in bottom right corner,"cut first few seconds, cropped so faces are more visible",,X,
Assembly line,Yes,https://www.youtube.com/watch?v=5yInIqfyctM,MAN Trucks Assembly Line,720p (HD),4:31,4:35,4,y,,Logo in bottom right corner,n,,,
Assembly line,Yes,https://www.youtube.com/watch?v=5yInIqfyctM,MAN Trucks Assembly Line,720p (HD),5:01,5:05,5,y,,Logo in bottom right corner,cut first few seconds,,X,
Board Game,Yes,https://www.youtube.com/watch?v=uUcNA3MhL5U,Bounce-off game - EvanTubeHD family game night,720p (HD),2:03,2:07,2,y,,,"cut first few seconds, cropped out logo",,X,
Board Game,Yes,https://www.youtube.com/watch?v=eT8baXQVXlI,Quick Cups - Family game night!!,720p (HD),0:51,0:55,7,y,,At 0:59 people try to press the buzzer (might be more clear that this is a clip of a game),cropped out logo,,X,
Board Game,Yes,https://www.youtube.com/watch?v=WqwvQGXrAbc,Stages of Every Game Night,720p (HD),1:00,1:04,2,y,,,cut first few seconds,,,
Board Game,Yes,https://www.youtube.com/watch?v=WqwvQGXrAbc,Stages of Every Game Night,720p (HD),1:51,1:55,2,y,,Same people as in prev clip - choose one,cut first few seconds,Cropped this to exclude foreground hair,X,
Board Game,Yes,https://www.youtube.com/watch?v=_yOJ4yo_KA8,Game night with a cool twist,720p (HD),0:52,0:56,4,y,,,n,,X,
Board Game,Yes,https://www.youtube.com/watch?v=cB9gDPPS2IA,Family Game Night (10.10.14 - Day 924),720p (HD),7:51,7:55,2,y,,logo in bottom right corner,camera zooms in ,,,
