0.0007 	WARNING 	Monitor specification not found. Creating a temporary one...
1.1989 	EXP 	Created Window = Window(allowGUI=True, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([-1., -1., -1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f6f0b0259d0>, name='Window', pos=[0, 0], screen=1, size=array([1280, 1024]), stereo=False, units=u'norm', useFBO=False, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
1.3151 	EXP 	Created Instructions = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='Instructions', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1.5)
2.6609 	DATA 	Keypress: space
2.6610 	INFO 	Finished instructions
2.6711 	EXP 	Created Waiting = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='Waiting', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'Loading movie...', units=u'norm', win=Window(...), wrapWidth=1)
2.8816 	EXP 	Created stimuli/INDIANA_JONES_RAIDERS_LOST_ARK_part_8.m4v = MovieStim2(autoLog=True, color=UNKNOWN, colorSpace=UNKNOWN, depth=0.0, filename=str(...), flipHoriz=False, flipVert=False, fps=UNKNOWN, interpolate=True, loop=False, name=str(...), noAudio=UNKNOWN, opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 960.,  540.]), units='pix', vframe_callback=UNKNOWN, volume=200, win=Window(...))
2.8923 	EXP 	Created Waiting = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0, flipHoriz=False, flipVert=False, font='', fontFiles=[], height=0.1, italic=False, name='Waiting', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'Waiting for scanner...', units=u'norm', win=Window(...), wrapWidth=1)
2.9137 	EXP 	stimuli/INDIANA_JONES_RAIDERS_LOST_ARK_part_8.m4v: movie = 'stimuli/INDIANA_JONES_RAIDERS_LOST_ARK_part_8.m4v'
2.9137 	EXP 	stimuli/INDIANA_JONES_RAIDERS_LOST_ARK_part_8.m4v: autoLog = True
2.9138 	INFO 	Serial device detected
0.0000 	INFO 	Got first scanner trigger! Resetting clocks
0.0575 	EXP 	Set stimuli/INDIANA_JONES_RAIDERS_LOST_ARK_part_8.m4v playing
0.0578 	WARNING 	MovieStim2 dropping video frame index: 2
0.0632 	WARNING 	MovieStim2 dropping video frame index: 3
0.8906 	INFO 	Scanner trigger received
1.9086 	INFO 	Scanner trigger received
2.9083 	INFO 	Scanner trigger received
3.8981 	INFO 	Scanner trigger received
4.8954 	INFO 	Scanner trigger received
5.9140 	INFO 	Scanner trigger received
6.6610 	WARNING 	MovieStim2 dropping video frame index: 197
6.9109 	INFO 	Scanner trigger received
7.9079 	INFO 	Scanner trigger received
8.8888 	INFO 	Scanner trigger received
9.8861 	INFO 	Scanner trigger received
10.7309 	WARNING 	MovieStim2 dropping video frame index: 319
10.9158 	INFO 	Scanner trigger received
11.9128 	INFO 	Scanner trigger received
12.9052 	INFO 	Scanner trigger received
13.8909 	INFO 	Scanner trigger received
14.8882 	INFO 	Scanner trigger received
15.8851 	INFO 	Scanner trigger received
16.9101 	INFO 	Scanner trigger received
17.4004 	WARNING 	MovieStim2 dropping video frame index: 519
17.8860 	INFO 	Scanner trigger received
18.8928 	INFO 	Scanner trigger received
19.8898 	INFO 	Scanner trigger received
20.8889 	INFO 	Scanner trigger received
21.8917 	INFO 	Scanner trigger received
22.8976 	INFO 	Scanner trigger received
23.8948 	INFO 	Scanner trigger received
24.8869 	INFO 	Scanner trigger received
25.8856 	INFO 	Scanner trigger received
26.9044 	INFO 	Scanner trigger received
27.9016 	INFO 	Scanner trigger received
28.8986 	INFO 	Scanner trigger received
29.8912 	INFO 	Scanner trigger received
30.9091 	INFO 	Scanner trigger received
31.9065 	INFO 	Scanner trigger received
32.9035 	INFO 	Scanner trigger received
33.0297 	WARNING 	MovieStim2 dropping video frame index: 987
33.8961 	INFO 	Scanner trigger received
34.9138 	INFO 	Scanner trigger received
35.9120 	INFO 	Scanner trigger received
36.9092 	INFO 	Scanner trigger received
37.9060 	INFO 	Scanner trigger received
38.8980 	INFO 	Scanner trigger received
39.9160 	INFO 	Scanner trigger received
40.9132 	INFO 	Scanner trigger received
41.9103 	INFO 	Scanner trigger received
42.9029 	INFO 	Scanner trigger received
43.8880 	INFO 	Scanner trigger received
44.8849 	INFO 	Scanner trigger received
45.4572 	WARNING 	MovieStim2 dropping video frame index: 1360
45.9152 	INFO 	Scanner trigger received
46.9076 	INFO 	Scanner trigger received
47.9048 	INFO 	Scanner trigger received
48.8904 	INFO 	Scanner trigger received
49.0655 	WARNING 	MovieStim2 dropping video frame index: 1468
49.8879 	INFO 	Scanner trigger received
50.8847 	INFO 	Scanner trigger received
51.8981 	INFO 	Scanner trigger received
52.8952 	INFO 	Scanner trigger received
53.8929 	INFO 	Scanner trigger received
54.8966 	INFO 	Scanner trigger received
54.9337 	WARNING 	MovieStim2 dropping video frame index: 1644
55.8902 	INFO 	Scanner trigger received
56.8998 	INFO 	Scanner trigger received
57.8969 	INFO 	Scanner trigger received
58.8993 	INFO 	Scanner trigger received
59.8865 	INFO 	Scanner trigger received
60.8853 	INFO 	Scanner trigger received
61.9017 	INFO 	Scanner trigger received
62.8990 	INFO 	Scanner trigger received
63.8914 	INFO 	Scanner trigger received
64.8885 	INFO 	Scanner trigger received
65.9081 	INFO 	Scanner trigger received
66.4250 	WARNING 	Multiple Movie frames have occurred - I'll stop bothering you about them!
66.9040 	INFO 	Scanner trigger received
67.8962 	INFO 	Scanner trigger received
68.8933 	INFO 	Scanner trigger received
69.9111 	INFO 	Scanner trigger received
70.9088 	INFO 	Scanner trigger received
71.9060 	INFO 	Scanner trigger received
72.8982 	INFO 	Scanner trigger received
73.9163 	INFO 	Scanner trigger received
