1,conversation,social,argue,chat,converse,discuss
2,hugging,social,caress,cuddle,embrace,hug
3,teaching,social,educate,instruct,lecture,teach
4,assembly,social,assemble,construct,labor,manufacture
5,cooking,nonsocial,bake,concoct,cook,roast
6,gardening,nonsocial,garden,harvest,plant,tend
7,arts,nonsocial,craft,design,fabricate,hand-build
8,playing,nonsocial,perform,recite,rehearse,serenade
9,eating,social,banquet,cater,dine,feast
10,eating,nonsocial,devour,feed,nibble,swallow
11,dancing,social,choreograph,shimmy,synchronize,whirl
12,dancing,nonsocial,gyrate,jive,pirouette,prance
13,exercising,social,coach,invigorate,spot,train
14,exercising,nonsocial,exercise,exert,flex,revitalize
15,cosmetics,social,beautify,clean up,make over,spruce up
16,cosmetics,nonsocial,groom,preen,prim,primp
17,using,social,assist,cooperate,facilitate,operate
18,using,nonsocial,fix,handle,repair,wield
